Drug	Synonym	Main Indications	WHO	Off-Patent	Vitro	Vivo	Cases	Obs.	Trials	Human	Targets	Date Update	DrugBank	PubChem	PubMed	
Glibenclamide	Glyburide	Diabetes	No	Yes	Yes	Yes	No	No	No	No	ABCC8; ABCC9; ABCB11; ABCA1; KCNJ11; CPT1A; CFTR; TRPM4;	03/04/2018	https://www.drugbank.ca/drugs/DB01016	https://pubchem.ncbi.nlm.nih.gov/compound/10238-21-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Glibenclamide+OR+Glyburide)+AND+cancer	
Glipizide		Diabetes	No	Yes	Yes	Yes	No	No	No	No	ABCC8; PPARG;	01/11/2017	https://www.drugbank.ca/drugs/DB01067	https://pubchem.ncbi.nlm.nih.gov/compound/29094-61-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Glipizide)+AND+cancer	
Griseofulvin		Fungal infections	Yes	Yes	Yes	Yes	Yes	No	No	Yes	TUB2; KRT12;	02/11/2017	https://www.drugbank.ca/drugs/DB00400	https://pubchem.ncbi.nlm.nih.gov/compound/126-07-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Griseofulvin)+AND+cancer	
Haloperidol		Psychotic disorders	Yes	Yes	Yes	Yes	No	No	No	No	DRD2; DRD1; GRIN2B; HTR2A; DRD3; MCHR1; SLC18A2; HTR2C; SIGMAR1; HRH1; CHRM3; ADRA1A; ADRA2A; ADRA2B; ADRA2C; HTR1A; HTR6; HTR7;	06/11/2017	https://www.drugbank.ca/drugs/DB00502	https://pubchem.ncbi.nlm.nih.gov/compound/52-86-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Haloperidol)+AND+cancer	
HPV vaccine	Human Papillomavirus vaccine, Papillomavirus vaccine	Prevention of HPV-induced premalignant genital lesions	Yes	N/A	No	No	Yes	Yes	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(HPV+vaccine+OR+Human+Papillomavirus+vaccine+OR++Papillomavirus+vaccine)+AND+cancer	
Hydralazine		Hypertension	Yes	Yes	Yes	Yes	No	No	Yes	Yes	AOC3; P4HA1; HIF1A;	07/11/2017	https://www.drugbank.ca/drugs/DB01275	https://pubchem.ncbi.nlm.nih.gov/compound/86-54-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Hydralazine)+AND+cancer	
Hydroxychloroquine		Malaria	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	TLR7; TLR9; ACE2;	04/01/2018	https://www.drugbank.ca/drugs/DB01611	https://pubchem.ncbi.nlm.nih.gov/compound/118-42-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Hydroxychloroquine)+AND+cancer	
Hymecromone		Antispasmodic	No	Yes	Yes	Yes	No	No	Yes	Yes	assT;	07/11/2017	https://www.drugbank.ca/drugs/DB07118	https://pubchem.ncbi.nlm.nih.gov/compound/90-33-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Hymecromone)+AND+cancer	
Ibandronic Acid	Ibandronate	Osteoporosis	No	Yes	Yes	Yes	Yes	No	Yes	Yes	FDPS; GGPS1;	09/08/2021	https://www.drugbank.ca/drugs/DB00710	https://pubchem.ncbi.nlm.nih.gov/compound/114084-78-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ibandronic+Acid+OR+Ibandronate)+AND+cancer	
Ibudilast		Multiple sclerosis, asthma, cerebrovascular disease	No	Yes	Yes	Yes	No	No	Yes	Yes	PDE4A; PDE4B; PDE4C; PDE4D; PDE3A;	18/02/2020	https://www.drugbank.ca/drugs/DB05266	https://pubchem.ncbi.nlm.nih.gov/compound/50847-11-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ibudilast)+AND+cancer	
Ibuprofen		Analgesia	Yes	Yes	Yes	Yes	No	No	Yes	Yes	PTGS2; PTGS1; BCL2; THBD; FABP2; PPARG; CFTR; PPARA; GP1BA; S100A7;	07/11/2017	https://www.drugbank.ca/drugs/DB01050	https://pubchem.ncbi.nlm.nih.gov/compound/15687-27-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ibuprofen)+AND+cancer	
Idebenone		Leber's Hereditary Optic Neuropathy	No	No	Yes	No	No	No	No	No		19/03/2019	https://www.drugbank.ca/drugs/DB09081	https://pubchem.ncbi.nlm.nih.gov/compound/58186-27-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Idebenone)+AND+cancer	
Imipramine		Depression	No	Yes	Yes	Yes	No	No	Yes	Yes	SLC6A2; HTR2A; SLC6A4; HRH1; ADRA1A; ADRA1D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; KCND2; KCND3; HTR2C; ADRA1B; HTR7; DRD1; DRD2; KCNH2; SLC6A3; HTR1A; HTR6; KCNH1; ORM2;	07/11/2017	https://www.drugbank.ca/drugs/DB00458	https://pubchem.ncbi.nlm.nih.gov/compound/50-49-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Imipramine)+AND+cancer	
Indinavir		Anti-retroviral	No	Yes	Yes	Yes	No	No	Yes	Yes	pol;	29/06/2020	https://www.drugbank.ca/drugs/DB00224	https://pubchem.ncbi.nlm.nih.gov/compound/150378-17-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Indinavir)+AND+cancer	
Indomethacin	Indometacin	Analgesia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PTGS1; PTGS2; PLA2G2A; PTGR2; PPARG; GLO1; PTGDR2; PPARA; AKR1C3; EIF2AK2;	20/11/2017	https://www.drugbank.ca/drugs/DB00328	https://pubchem.ncbi.nlm.nih.gov/compound/53-86-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Indomethacin+OR+Indometacin)+AND+cancer	
Influenza vaccine	Flu vaccine, influenzavirus vaccine	Active immunization against flu infection	Yes	N/A	Yes	Yes	No	Yes	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Influenza+vaccine+OR+Flu+vaccine+OR++influenzavirus+vaccine)+AND+cancer	
Irbesartan		Hypertension	No	Yes	Yes	Yes	Yes	Yes	No	Yes	AGTR1; JUN;	20/11/2017	https://www.drugbank.ca/drugs/DB01029	https://pubchem.ncbi.nlm.nih.gov/compound/138402-11-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Irbesartan)+AND+cancer	
Itraconazole		Fungal infections	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CYP51A1; ERG11;	20/11/2017	https://www.drugbank.ca/drugs/DB01167	https://pubchem.ncbi.nlm.nih.gov/compound/84625-61-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Itraconazole)+AND+cancer	
Ivermectin		Parasitic infection	Yes	Yes	Yes	Yes	No	No	Yes	Yes		09/06/2017	https://www.drugbank.ca/drugs/DB00602	https://pubchem.ncbi.nlm.nih.gov/compound/70288-86-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ivermectin)+AND+cancer	
Ketamine		Anesthetic	Yes	Yes	Yes	Yes	No	No	Yes	Yes	GRIN3A; TACR1; DRD2; OPRD1; SLC6A2; OPRK1; OPRM1; CHRM1; HTR2A; HTR1A; HTR3A; CHRNA7; BCHE; NOS1;	09/08/2018	https://www.drugbank.ca/drugs/DB01221	https://pubchem.ncbi.nlm.nih.gov/compound/6740-88-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ketamine)+AND+cancer	
Ketoconazole		Fungal infections	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ERG11; AR; CYP17A1; CYP21A2; KCNH2; NR1I2; NR1I3;	27/11/2017	https://www.drugbank.ca/drugs/DB01026	https://pubchem.ncbi.nlm.nih.gov/compound/65277-42-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ketoconazole)+AND+cancer	
Ketoprofen		Analgesia	No	Yes	Yes	Yes	No	No	No	No	PTGS1; PTGS2; CXCR1;	19/03/2019	https://www.drugbank.ca/drugs/DB01009	https://pubchem.ncbi.nlm.nih.gov/compound/22071-15-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ketoprofen)+AND+cancer	
Ketorolac		Post-operative analgesia	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PTGS2; PTGS1;	29/11/2017	https://www.drugbank.ca/drugs/DB00465	https://pubchem.ncbi.nlm.nih.gov/compound/74103-06-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ketorolac)+AND+cancer	
Lamotrigine		Epilepsy	Yes	Yes	Yes	Yes	No	No	No	No	CACNA1E; SCN1A; ADORA1; ADORA2A; ADRA1A; ADRA2A; ADRB1; DRD1; DRD2; GABRA1; GABRA1; HRH1; OPRK1; CHRNA1; HTR2A; HTR3A; GRIA1;	12/03/2018	https://www.drugbank.ca/drugs/DB00555	https://pubchem.ncbi.nlm.nih.gov/compound/84057-84-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Lamotrigine)+AND+cancer	
Lansoprazole		Antacid	No	Yes	Yes	Yes	No	Yes	Yes	Yes	ATP4A; MAPT;	09/08/2021	https://www.drugbank.ca/drugs/DB00448	https://pubchem.ncbi.nlm.nih.gov/compound/103577-45-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Lansoprazole)+AND+cancer	
L-Arginine		Nutraceutical	No	Yes	Yes	Yes	No	No	Yes	Yes		03/08/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(L-Arginine)+AND+cancer	
Leflunomide		Arthritis	No	Yes	Yes	Yes	No	No	Yes	Yes	DHODH; AHR; PTK2B;	17/02/2020	https://www.drugbank.ca/drugs/DB01097	https://pubchem.ncbi.nlm.nih.gov/compound/75706-12-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Leflunomide)+AND+cancer	
Levamisole		Parasitic infection	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	CHRNA3; ALPPL2; unc-38; unc-63; lev-1; unc-29;	22/01/2019	https://www.drugbank.ca/drugs/DB00848	https://pubchem.ncbi.nlm.nih.gov/compound/14769-73-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Levamisole)+AND+cancer	
Levetiracetam		Epilepsy	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	SV2A; CACNA1B;	17/08/2021	https://www.drugbank.ca/drugs/DB01202	https://pubchem.ncbi.nlm.nih.gov/compound/102767-28-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Levetiracetam)+AND+cancer	
Levofloxacin		Antibiotic	Yes	Yes	Yes	Yes	Yes	No	No	Yes	parC; gyrA;	05/12/2017	https://www.drugbank.ca/drugs/DB01137	https://pubchem.ncbi.nlm.nih.gov/compound/100986-85-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Levofloxacin)+AND+cancer	
Levonorgestrel		Contraceptive	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PGR; SRD5A1; ESR1; AR; SHBG; NR3C1;	09/08/2018	https://www.drugbank.ca/drugs/DB00367	https://pubchem.ncbi.nlm.nih.gov/compound/797-63-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Levonorgestrel)+AND+cancer	
L-Glutamine		Nutraceutical	No	Yes	Yes	Yes	No	No	Yes	Yes	CTPS1; PPAT; GLUL;	01/11/2017	https://www.drugbank.ca/drugs/DB00130	https://pubchem.ncbi.nlm.nih.gov/compound/56-85-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(L-Glutamine)+AND+cancer	
Lidocaine		Anesthetic	Yes	Yes	Yes	Yes	No	No	Yes	Yes	SCN10A; SCN9A; SCN5A; EGFR; SCN4A; ORM1; ORM2;	06/12/2017	https://www.drugbank.ca/drugs/DB00281	https://pubchem.ncbi.nlm.nih.gov/compound/137-58-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Lidocaine)+AND+cancer	
Linagliptin		Diabetes	No	Yes	Yes	Yes	No	No	Yes	Yes	DPP4;	04/11/2021	https://www.drugbank.ca/drugs/DB08882	https://pubchem.ncbi.nlm.nih.gov/compound/668270-12-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Linagliptin)+AND+cancer	
Liothyronine		Hypothyroidism	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	THRA; THRB; PCNA;	18/11/2020	https://www.drugbank.ca/drugs/DB00279	https://pubchem.ncbi.nlm.nih.gov/compound/6893-02-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Liothyronine)+AND+cancer	
Liraglutide		Diabetes	No	No	Yes	No	No	No	No	No	GLP1R;	22/01/2019	https://www.drugbank.ca/drugs/DB06655	https://pubchem.ncbi.nlm.nih.gov/compound/204656-20-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Liraglutide)+AND+cancer	
Lithium		Bipolar disorders	No	Yes	Yes	Yes	Yes	No	Yes	Yes		06/12/2017	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Lithium)+AND+cancer	
Loperamide		Diarrhea	Yes	Yes	Yes	No	No	No	No	No	OPRM1; OPRD1; OPRK1; CACNA1A; POMC; CALM1; NR1I3;	07/12/2017	https://www.drugbank.ca/drugs/DB00836	https://pubchem.ncbi.nlm.nih.gov/compound/53179-11-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Loperamide)+AND+cancer	
Lopinavir		Anti-retroviral	Yes	Yes	Yes	Yes	No	No	Yes	Yes	pol;	29/01/2018	https://www.drugbank.ca/drugs/DB01601	https://pubchem.ncbi.nlm.nih.gov/compound/192725-17-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Lopinavir)+AND+cancer	
Loratadine		Allergies	Yes	Yes	Yes	No	No	Yes	No	Yes	HRH1; KCNH2;	07/12/2017	https://www.drugbank.ca/drugs/DB00455	https://pubchem.ncbi.nlm.nih.gov/compound/79794-75-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Loratadine)+AND+cancer	
Losartan		Hypertension	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	AGTR1;	09/08/2021	https://www.drugbank.ca/drugs/DB00678	https://pubchem.ncbi.nlm.nih.gov/compound/114798-26-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Losartan)+AND+cancer	
Lovastatin		Hyperlipidemia	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	HMGCR; ITGAL; HDAC2;	11/12/2017	https://www.drugbank.ca/drugs/DB00227	https://pubchem.ncbi.nlm.nih.gov/compound/75330-75-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Lovastatin)+AND+cancer	
Loxoprofen		Analgesia	No	Yes	Yes	Yes	Yes	Yes	No	Yes	PTGS2; PTGS1;	11/12/2017	https://www.drugbank.ca/drugs/DB09212	https://pubchem.ncbi.nlm.nih.gov/compound/68767-14-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Loxoprofen)+AND+cancer	
Macitentan		Pulmonary arterial hypertension	No	No	Yes	Yes	No	No	Yes	Yes	EDNRA; EDNRB;	11/12/2017	https://www.drugbank.ca/drugs/DB08932	https://pubchem.ncbi.nlm.nih.gov/compound/441798-33-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Macitentan)+AND+cancer	
Manidipine		Hypertension	No	Yes	Yes	Yes	No	No	No	No	CACNA1C; CACNA1G;	11/12/2017	https://www.drugbank.ca/drugs/DB09238	https://pubchem.ncbi.nlm.nih.gov/compound/89226-50-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Manidipine)+AND+cancer	
Maprotiline		Depression	No	Yes	Yes	Yes	No	No	Yes	Yes	SLC6A2; HRH1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA1A; HTR2A; HTR2C; HTR7; DRD2; ADRA2A;	25/10/2021	https://www.drugbank.ca/drugs/DB00934	https://pubchem.ncbi.nlm.nih.gov/compound/10262-69-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Maprotiline)+AND+cancer	
Maraviroc		Anti-retroviral	No	No	Yes	Yes	No	No	Yes	Yes	CCR5;	10/06/2017	https://www.drugbank.ca/drugs/DB04835	https://pubchem.ncbi.nlm.nih.gov/compound/376348-65-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Maraviroc)+AND+cancer	
Measles vaccine	MMR vaccine	Active immunization against measles infection	Yes	N/A	Yes	Yes	No	Yes	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Measles+vaccine+OR+MMR+vaccine)+AND+cancer	
Mebendazole		Parasitic infection	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	TUBA1A; TUBB4B;	09/08/2021	https://www.drugbank.ca/drugs/DB00643	https://pubchem.ncbi.nlm.nih.gov/compound/31431-39-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mebendazole)+AND+cancer	
Meclizine	Meclozine	Antiemetic	No	Yes	Yes	No	No	No	Yes	Yes	HRH1; NR1I3;	21/08/2019	https://www.drugbank.ca/drugs/DB00737	https://pubchem.ncbi.nlm.nih.gov/compound/569-65-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Meclizine+OR+Meclozine)+AND+cancer	
Meclofenamate	Meclofenamic Acid	Analgesia	No	Yes	Yes	Yes	No	No	Yes	Yes	PTGS1; PTGS2; ALOX5; KCNQ2; KCNQ3;	12/12/2017	https://www.drugbank.ca/drugs/DB00939	https://pubchem.ncbi.nlm.nih.gov/compound/644-62-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Meclofenamate+OR+Meclofenamic+Acid)+AND+cancer	
Mefenamic Acid		RA, OA, analgesia	No	Yes	Yes	Yes	No	No	No	No	PTGS2; PTGS1;	02/03/2020	https://www.drugbank.ca/drugs/DB00784	https://pubchem.ncbi.nlm.nih.gov/compound/61-68-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mefenamic+Acid)+AND+cancer	
Mefloquine		Malaria	Yes	Yes	Yes	Yes	No	No	Yes	Yes	ADORA2A;	09/08/2021	https://www.drugbank.ca/drugs/DB00358	https://pubchem.ncbi.nlm.nih.gov/compound/53230-10-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mefloquine)+AND+cancer	
Megestrol Acetate		Hormone	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PGR; NR3C1;	12/12/2017	https://www.drugbank.ca/drugs/DB00351	https://pubchem.ncbi.nlm.nih.gov/compound/595-33-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Megestrol+Acetate)+AND+cancer	
Melatonin		Insomnia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	MTNR1A; MTNR1B; ESR1; RORB; CALM1; MPO; EPX; CALR; ASMT; NQO2;	13/12/2017	https://www.drugbank.ca/drugs/DB01065	https://pubchem.ncbi.nlm.nih.gov/compound/73-31-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Melatonin)+AND+cancer	
Meloxicam		Analgesia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PTGS2; PTGS1;	15/12/2017	https://www.drugbank.ca/drugs/DB00814	https://pubchem.ncbi.nlm.nih.gov/compound/71125-38-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Meloxicam)+AND+cancer	
Memantine		Alzheimer's Disease	No	Yes	Yes	No	No	No	Yes	Yes	HTR3A; CHRNA7; DRD2; GRIN1; GRIN1; GABRA1; GLRA1;	04/01/2018	https://www.drugbank.ca/drugs/DB01043	https://pubchem.ncbi.nlm.nih.gov/compound/19982-08-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Memantine)+AND+cancer	
Menadione	Vitamin K3	Reversal of major bleeding after Warfarin	No	Yes	Yes	Yes	No	No	Yes	Yes	GGCX; VKORC1; VKORC1L1; F2; F9; PROC; PROS1; NQO2; NQO1; BGLAP;	27/07/2020	https://www.drugbank.ca/drugs/DB00170	https://pubchem.ncbi.nlm.nih.gov/compound/58-27-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Menadione+OR+Vitamin+K3)+AND+cancer	
Menatetrenone	Menaquinone-4, MK-4	Osteoporosis	No	Unclear	Yes	Yes	Yes	No	Yes	Yes		25/02/2020	https://www.drugbank.ca/drugs/DB12148	https://pubchem.ncbi.nlm.nih.gov/compound/863-61-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Menatetrenone+OR+Menaquinone-4+OR++MK-4)+AND+cancer	
Mepacrine	Quinacrine	Parasitic infection	No	Yes	Yes	Yes	No	No	Yes	Yes	PLA2G6; PLA2G4A; PLCL1;	04/01/2018	https://www.drugbank.ca/drugs/DB01103	https://pubchem.ncbi.nlm.nih.gov/compound/83-89-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mepacrine+OR+Quinacrine)+AND+cancer	
Mepyramine		Allergies	No	Yes	Yes	Yes	No	No	No	No	HRH1;	20/03/2019	https://www.drugbank.ca/drugs/DB06691	https://pubchem.ncbi.nlm.nih.gov/compound/91-84-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mepyramine)+AND+cancer	
Mesalazine	Mesalamine, 5-aminosalicylic acid	Inflammatory bowel disease	Yes	Yes	Yes	Yes	No	No	Yes	Yes	PTGS2; PTGS1; ALOX5; PPARG; CHUK; IKBKB; MPO;	18/08/2021	https://www.drugbank.ca/drugs/DB00244	https://pubchem.ncbi.nlm.nih.gov/compound/89-57-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mesalazine+OR+Mesalamine+OR++5-aminosalicylic+acid)+AND+cancer	
Metformin		Diabetes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PRKAB1; ETFDH; GPD1;	15/12/2017	https://www.drugbank.ca/drugs/DB00331	https://pubchem.ncbi.nlm.nih.gov/compound/657-24-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Metformin)+AND+cancer	
Methazolamide		Antiglaucoma, diuretic	No	Yes	No	No	No	No	Yes	Yes	CA1; CA4; CA2; CA7; CA3;	15/12/2017	https://www.drugbank.ca/drugs/DB00703	https://pubchem.ncbi.nlm.nih.gov/compound/554-57-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Methazolamide)+AND+cancer	
Methimazole	Thiamazole	Hyperthyroidism	Yes	Yes	No	No	Yes	No	Yes	Yes	TPO;	15/12/2017	https://www.drugbank.ca/drugs/DB00763	https://pubchem.ncbi.nlm.nih.gov/compound/60-56-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Methimazole+OR+Thiamazole)+AND+cancer	
Methylene Blue	Methylthioninium chloride	Methemoglobinemia, cyanide toxicity	No	Yes	Yes	Yes	No	No	Yes	Yes	GUCY1A2; NOS1;	26/03/2019	https://www.drugbank.ca/drugs/DB09241	https://pubchem.ncbi.nlm.nih.gov/compound/61-73-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Methylene+Blue+OR+Methylthioninium+chloride)+AND+cancer	
Methylnaltrexone		Opioid-induced constipation	No	Yes	Yes	Yes	No	Yes	No	Yes	OPRM1; OPRK1;	09/08/2021	https://www.drugbank.ca/drugs/DB06800	https://pubchem.ncbi.nlm.nih.gov/compound/916055-93-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Methylnaltrexone)+AND+cancer	
Metoclopramide		Anti-emesis	Yes	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; CHRM1; HTR4; HTR3A;	18/12/2017	https://www.drugbank.ca/drugs/DB01233	https://pubchem.ncbi.nlm.nih.gov/compound/364-62-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Metoclopramide)+AND+cancer	
Metronidazole		Bacterial infection	Yes	Yes	Yes	Yes	No	No	Yes	Yes	rdxA;	07/09/2020	https://www.drugbank.ca/drugs/DB00916	https://pubchem.ncbi.nlm.nih.gov/compound/443-48-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Metronidazole)+AND+cancer	
Metyrapone		Adrenal insufficiency, Cushing's syndrome	No	Yes	No	Yes	Yes	No	No	Yes	CYP11B1; camC;	11/03/2020	https://www.drugbank.ca/drugs/DB01011	https://pubchem.ncbi.nlm.nih.gov/compound/54-36-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Metyrapone)+AND+cancer	
Miconazole		Fungal infections	Yes	Yes	Yes	Yes	No	No	Yes	Yes	ERG11; NOS3; NOS2; NR1I2; KCNMA1; KCNA1; KCNJ12; CACNA1C;	13/08/2019	https://www.drugbank.ca/drugs/DB01110	https://pubchem.ncbi.nlm.nih.gov/compound/22916-47-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Miconazole)+AND+cancer	
Midazolam		Sedation	Yes	Yes	Yes	Yes	No	No	No	No	GABRA1; GABRA1;	12/03/2018	https://www.drugbank.ca/drugs/DB00683	https://pubchem.ncbi.nlm.nih.gov/compound/59467-70-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Midazolam)+AND+cancer	
Mifepristone		Abortifacient	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PGR; NR3C1; KLK3; NR1I2;	19/12/2017	https://www.drugbank.ca/drugs/DB00834	https://pubchem.ncbi.nlm.nih.gov/compound/84371-65-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mifepristone)+AND+cancer	
Miltefosine	Hexadecylphosphocholine	Leishmaniasis	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	ABCB1;	17/02/2020	https://www.drugbank.ca/drugs/DB09031	https://pubchem.ncbi.nlm.nih.gov/compound/58066-85-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Miltefosine+OR+Hexadecylphosphocholine)+AND+cancer	
Minocycline		Antibiotic	No	Yes	Yes	Yes	No	No	Yes	Yes	rpsI; rpsD; IL1B; ALOX5; MMP9; VEGFA; CASP1; CASP3; CYCS; MAPK1; NOS2;	20/12/2017	https://www.drugbank.ca/drugs/DB01017	https://pubchem.ncbi.nlm.nih.gov/compound/10118-90-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Minocycline)+AND+cancer	
Minoxidil		Antihypertensive, alopecia	No	Yes	Yes	Yes	No	No	No	No	KCNJ1; PTGS1; REN;	23/06/2020	https://www.drugbank.ca/drugs/DB00350	https://pubchem.ncbi.nlm.nih.gov/compound/38304-91-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Minoxidil)+AND+cancer	
Mirtazapine		Depression	No	Yes	Yes	Yes	No	No	No	No	HTR2A; ADRA2A; HTR2C; OPRK1; HRH1; ADRA1A;	20/12/2017	https://www.drugbank.ca/drugs/DB00370	https://pubchem.ncbi.nlm.nih.gov/compound/85650-52-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mirtazapine)+AND+cancer	
Mometasone	Mometasone furoate	Asthma prophylaxis	No	Yes	Yes	No	No	No	No	No	NR3C1; PGR;	15/02/2018	https://www.drugbank.ca/drugs/DB00764	https://pubchem.ncbi.nlm.nih.gov/compound/105102-22-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mometasone+OR+Mometasone+furoate)+AND+cancer	
Montelukast		Allergies	No	Yes	Yes	Yes	No	No	No	No	CYSLTR1; ALOX5;	20/12/2017	https://www.drugbank.ca/drugs/DB00471	https://pubchem.ncbi.nlm.nih.gov/compound/158966-92-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Montelukast)+AND+cancer	
Mumps vaccine	MMR vaccine	Active immunization against mumps infection	Yes	N/A	Yes	Yes	No	No	No	No		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Mumps+vaccine+OR+MMR+vaccine)+AND+cancer	
